Name,HQ,Structure_M,Hero_M,Tech_M,Truck_M,Total_M,Model5_PowerLaw,Model6_Weighted,Model3_Scaling,Average
Player_01,35,149,111,50,26,336,257.3,203.5,207.0,222.6
Player_02,32,83,70,28,14,195,86.0,70.9,85.0,80.6
Player_03,30,81,65,27,14,187,79.1,63.0,78.9,73.7
Player_04,35,144,100,41,26,311,220.2,171.1,183.7,191.7
Player_05,31,93,68,26,15,202,92.3,72.3,90.4,85.0
Player_06,32,92,80,31,18,221,110.7,93.5,105.5,103.2
Player_07,31,82,74,32,20,208,98.0,81.0,95.1,91.4
Player_08,30,63,65,22,13,163,59.9,54.8,61.4,58.7
Player_09,30,77,68,25,13,183,75.7,64.5,75.9,72.0
Player_10,30,77,68,21,13,179,72.4,63.7,73.0,69.7
Player_11,30,76,54,17,12,159,57.0,44.8,58.6,53.5
Player_12,30,50,60,18,12,140,44.1,43.4,45.7,44.4
Player_13,30,66,53,21,9,149,50.0,39.8,51.7,47.2
Player_14,30,75,58,23,12,168,63.7,50.1,65.0,59.6
Player_15,30,59,60,20,9,148,49.4,45.2,51.0,48.5
Player_16,31,64,69,25,11,169,64.5,59.8,65.7,63.3
Player_17,30,54,51,19,9,133,39.8,34.0,41.1,38.3
Player_18,29,60,49,18,7.5,134.5,40.7,33.0,42.1,38.6
Player_19,31,58,58,26,7.7,149.7,50.5,42.9,52.2,48.5
Player_20,29,59,53,15,9.5,136.5,41.9,37.1,43.4,40.8
Player_21,28,52,37,14,7,110,27.2,20.2,27.1,24.8
Player_22,29,46,42,15,7,110,27.2,22.8,27.1,25.7
Player_23,29,46,44,14,7,111,27.7,24.3,27.7,26.6
Player_24,29,50,50,14,7,121,32.9,30.5,33.6,32.4
Player_25,28,54,49,20,8,131,38.6,31.9,39.9,36.8
Player_26,30,48,43,15,7,113,28.7,24.1,28.9,27.2
Player_27,27,41,47,11,8,107,25.7,25.6,25.4,25.6
Player_28,31,57,48,14,8,127,36.3,30.9,37.3,34.8
Player_29,30,52,50,15,10,127,36.3,32.4,37.3,35.3
Player_30,29,44,49,15,9,117,30.7,29.0,31.2,30.3
Player_31,30,41,49,11,10,111,27.7,28.1,27.7,27.8
Player_32,30,44,55,18,9,126,35.7,35.0,36.7,35.8
Player_33,30,39,44,14,7,104,24.3,22.7,23.7,23.6
Player_34,30,46,55,16,7,124,34.6,34.5,35.5,34.8
Player_35,30,52,42,16,7,117,30.7,24.3,31.2,28.8
Player_36,30,48,33,13,5.5,99.5,22.2,16.0,21.2,19.8
Player_37,30,54,40,14,6,114,29.2,22.6,29.4,27.1
Player_38,30,52,40,13,6,111,27.7,22.0,27.7,25.8
Player_39,30,58,39,13,6,116,30.2,22.6,30.6,27.8
Player_40,30,55,33,14,6,108,26.2,17.6,26.0,23.3
Player_41,30,47,40,16,6.5,109.5,26.9,21.4,26.8,25.1
Player_42,30,43,45,16,9,113,28.7,25.4,28.9,27.6
Player_43,31,42,35,14,6,97,21.1,16.5,19.9,19.1
Player_44,30,48,44,17,7.5,116.5,30.5,25.3,30.9,28.9
Player_45,31,59,55,18,10.5,142.5,45.7,40.1,47.3,44.4
Player_46,31,50,47,18,8,123,34.0,28.7,34.9,32.5
Player_47,30,39,41,14,7,101,22.9,20.4,22.0,21.8
Player_48,30,50,45,14,7,116,30.2,26.1,30.6,29.0
Player_49,29,45,48,16,7,116,30.2,27.7,30.6,29.5
Player_50,28,43,35,12,5,95,20.2,16.2,18.8,18.4
Player_51,28,28,34,13,5,80,14.3,13.0,11.3,12.9
Player_52,29,30,34,14,6,84,15.8,13.7,13.2,14.2
Player_53,29,30,34,8,6,78,13.6,13.1,10.3,12.4
Player_54,28,37,36,10,5,88,17.3,15.5,15.2,16.0
Player_55,27,38,28,7,5,78,13.6,10.7,10.3,11.6
Player_56,28,37,25,5,5,72,11.6,8.9,7.6,9.4
Player_57,27,31,26,9,4,70,10.9,8.6,6.8,8.8
Player_58,28,38,29,11,5,83,15.4,11.6,12.7,13.2
Player_59,29,36,30,10,4.5,80.5,14.5,11.6,11.5,12.5
Player_60,28,40,30,11,5,86,16.5,12.5,14.2,14.4
Player_61,28,32,32,8,6,78,13.6,12.3,10.3,12.1
Player_62,,51.48694,53.54554,17.55005,8.835235,131.42,38.9,35.6,40.1,38.2
Player_63,,70.37755,76.77008,33.08009,15.29,195.52,86.5,77.4,85.4,83.1
Player_64,,54.45476,50.54829,16.42102,9.156831,130.58,38.4,33.4,39.6,37.1
Player_65,,99.16606,68.8155,27.60853,14.1919,209.78,99.7,75.9,96.5,90.7
Player_66,,94.02872,89.35982,32.91744,20.43981,236.75,127.1,113.0,118.4,119.5
Player_67,,56.12226,51.21552,16.33974,8.036525,131.71,39.0,34.1,40.3,37.8
Player_68,,42.68917,51.04704,13.65734,7.650276,115.04,29.7,29.8,30.1,29.9
